Probability;D;U;Delta;Amount;averageTimeDUpRecoil;averageTimeDUpWithoutRecoil;amountUpRecoil;amountUpWithoutRecoil;averageTimeDDownRecoil;averageTimeDDownWithoutRecoil;amountDownRecoil;amountDownWithoutRecoil;
37.61842;0.05;0.1;0.05;13722;3.102534;2.737591;4262;2599;3.364356;2.642606;4298;2563;
25.53703;0.05;0.15;0.1;6238;3.320746;2.903068;2304;815;3.625374;2.749357;2341;778;
18.47641;0.05;0.2;0.15;3518;3.515559;3.084058;1414;345;3.698762;3.013115;1454;305;
31.50048;0.1;0.15;0.05;6238;8.126641;7.564336;2132;987;9.249884;8.233129;2141;978;
19.78397;0.1;0.2;0.1;3518;8.673295;7.128205;1408;351;9.616691;9.08116;1414;345;
13.47216;0.1;0.25;0.15;2353;8.687867;7.37013;1022;154;9.922091;9.687117;1014;163;
28.73792;0.15;0.2;0.05;3518;16.37412;14.7376;1275;484;18.83117;18.0019;1232;527;
17.59456;0.15;0.25;0.09999999;2353;16.39253;13.44865;991;185;19.84177;18.07424;948;229;
12.71981;0.15;0.3;0.15;1706;16.07077;13.98889;763;90;20.19835;17.82677;726;127;
26.98683;0.2;0.25;0.05;2353;27.55317;28.16096;884;292;34.45803;29.98542;834;343;
16.29543;0.2;0.3;0.1;1706;28.07703;29.03968;727;126;34.59914;32.83553;701;152;
11.74551;0.2;0.35;0.15;1226;27.80996;26.94366;542;71;34.02963;33.36986;540;73;
27.08089;0.25;0.3;0.05000001;1706;43.12939;43.17181;626;227;48.21359;52.06383;618;235;
15.33442;0.25;0.35;0.09999999;1226;41.22868;43.2165;516;97;47.88506;57.2967;522;91;
11.1465;0.25;0.4;0.15;942;40.75;43.77966;412;59;49.58118;63.65217;425;46;
25.85644;0.3;0.35;0.05000001;1226;57.91139;63.23022;474;139;63.54023;72.95506;435;178;
16.13588;0.3;0.4;0.09999999;942;58.90754;61.85;411;60;68.51187;65.26087;379;92;
12.36702;0.3;0.45;0.15;752;60.03823;66.77778;340;36;68.31348;59.98246;319;57;
28.45011;0.35;0.4;0.05000001;942;80.42165;73.75;351;120;90.75232;92.92567;323;148;
15.82447;0.35;0.45;0.09999999;752;78.65312;75.19643;320;56;89.0032;92.57143;313;63;
9.5;0.35;0.5;0.15;600;79.41852;87;270;30;90.5641;83.25926;273;27;
29.3883;0.4;0.45;0.05000001;752;104.9011;108.3592;273;103;112.5078;108.1102;258;118;
16.66667;0.4;0.5;0.09999999;600;105.378;109.1522;254;46;115.2439;105.3148;246;54;
11.49194;0.4;0.55;0.15;496;100.4619;129.4;223;25;112.5185;111.4688;216;32;
30.5;0.45;0.5;0.04999998;600;145.8113;116.6932;212;88;145.0098;127.3579;205;95;
19.55645;0.45;0.55;0.09999999;496;140.3317;119.9783;202;46;138.1015;131.6863;197;51;
14.00966;0.45;0.6;0.15;414;144.8483;100.3448;178;29;140.7809;124.931;178;29;
28.02419;0.5;0.55;0.05000001;496;177.2722;154.75;180;68;172.9604;154.9718;177;71;
17.8744;0.5;0.6;0.1;414;179.0655;155.5897;168;39;176.6105;149.6286;172;35;
11.58192;0.5;0.65;0.15;354;167.3677;180.1364;155;22;167.4873;137.3158;158;19;
27.29469;0.55;0.6;0.05000001;414;218.6467;175.9474;150;57;211.8808;216.1786;151;56;
14.40678;0.55;0.65;0.1;354;199.9097;188.9091;155;22;211.9257;183.7586;148;29;
9.748427;0.55;0.7;0.15;318;200.0625;236;144;15;206.6853;169.75;143;16;
32.20339;0.6;0.65;0.05000001;354;216.2835;275.22;127;50;259.7522;236.875;113;64;
20.12579;0.6;0.7;0.1;318;223.4733;301.1429;131;28;242.2845;273.8889;123;36;
12.31884;0.6;0.75;0.15;276;240.6855;176.2143;124;14;248.4661;246.85;118;20;
30.18868;0.65;0.7;0.05000001;318;269.1759;302.3922;108;51;275.4386;313.3333;114;45;
15.57971;0.65;0.7500001;0.1;276;286.1035;238.2273;116;22;297.5727;225.6667;117;21;
