Type;Date;Price;
1;11.01.2009 10:30:02;114.58;
0;11.01.2009 10:30:04;114.41;
0;11.01.2009 10:30:08;114.22;
0;11.01.2009 10:30:33;113.56;
0;11.01.2009 10:30:44;113.42;
0;11.01.2009 10:30:47;113.27;
0;11.01.2009 10:31:00;112.74;
0;11.01.2009 10:31:04;112.95;
0;11.01.2009 10:31:08;112.76;
1;11.01.2009 10:31:33;112.12;
0;11.01.2009 10:31:40;112.2;
0;11.01.2009 10:31:43;112.52;
0;11.01.2009 10:32:06;113.12;
1;11.01.2009 10:32:16;113.23;
0;11.01.2009 10:32:54;112.95;
1;11.01.2009 10:33:01;112.88;
0;11.01.2009 10:33:04;112.66;
0;11.01.2009 10:33:21;112.8;
1;11.01.2009 10:33:42;112.82;
1;11.01.2009 10:34:03;112.71;
1;11.01.2009 10:34:17;112.8;
0;11.01.2009 10:37:58;111.99;
1;11.01.2009 10:38:18;111.99;
0;11.01.2009 10:38:57;112.5;
0;11.01.2009 10:40:14;112.81;
0;11.01.2009 10:40:31;112.91;
0;11.01.2009 10:40:39;113;
1;11.01.2009 10:40:44;113.05;
0;11.01.2009 10:41:48;112.88;
0;11.01.2009 10:42:23;112.85;
1;11.01.2009 10:44:29;112.94;
0;11.01.2009 10:45:16;113.18;
1;11.01.2009 10:45:26;113.2;
1;11.01.2009 10:46:41;113.1;
0;11.01.2009 10:48:37;113.26;
0;11.01.2009 10:52:59;113.3;
0;11.01.2009 10:55:01;113.57;
0;11.01.2009 10:55:22;113.52;
1;11.01.2009 10:56:04;113.6;
1;11.01.2009 10:59:08;113.38;
0;11.01.2009 11:05:05;113.6;
1;11.01.2009 11:10:37;113.77;
0;11.01.2009 11:15:53;113.29;
0;11.01.2009 11:16:03;113.18;
0;11.01.2009 11:16:11;113.16;
0;11.01.2009 11:16:46;113.15;
0;11.01.2009 11:22:40;112.47;
1;11.01.2009 11:22:45;112.49;
0;11.01.2009 11:23:51;112.65;
0;11.01.2009 11:25:10;112.6;
1;11.01.2009 11:25:24;112.7;
0;11.01.2009 11:26:18;112.45;
1;11.01.2009 11:26:28;112.44;
0;11.01.2009 11:28:05;112.68;
0;11.01.2009 11:29:44;112.7;
